classifier,classification_type,feature,max_ROI,gentl_result_param,accuracy,f1_score,precision,sensitivity,specificity
knn,cancer_invasion,correlation,40,average_generation_absolute_distance_results,61.54,59.9,61.98,61.92,63.0
knn,cancer_stage,correlation,40,average_generation_absolute_distance_results,42.01,22.26,22.71,25.72,87.35
knn,early_vs_late_stage,correlation,40,average_generation_absolute_distance_results,61.54,52.5,53.32,56.33,46.67
knn,ptc_vs_mibc,correlation,40,average_generation_absolute_distance_results,68.33,67.95,71.59,69.66,85.71
knn,cancer_invasion,correlation,40,average_mean_absolute_distance_results,63.08,53.74,60.15,56.25,30.0
knn,cancer_stage,correlation,40,average_mean_absolute_distance_results,36.04,15.54,17.1,18.11,85.08
knn,early_vs_late_stage,correlation,40,average_mean_absolute_distance_results,75.38,54.87,58.04,56.0,20.0
knn,ptc_vs_mibc,correlation,40,average_mean_absolute_distance_results,68.42,67.73,68.46,67.96,62.86
knn,cancer_invasion,correlation,50,,72.31,70.09,72.09,71.28,67.0
knn,cancer_stage,correlation,50,,40.05,23.38,25.05,24.89,86.19
knn,early_vs_late_stage,correlation,50,,75.38,58.51,58.37,60.67,33.33
knn,ptc_vs_mibc,correlation,50,,57.92,56.49,60.62,57.34,48.57
knn,cancer_invasion,correlation,50,average_best_absolute_distance_results,70.77,68.88,70.85,70.31,67.0
knn,cancer_stage,correlation,50,average_best_absolute_distance_results,39.01,21.68,21.16,25.4,86.66
knn,early_vs_late_stage,correlation,50,average_best_absolute_distance_results,81.54,63.54,75.87,62.33,26.67
knn,ptc_vs_mibc,correlation,50,average_best_absolute_distance_results,60.5,59.66,61.79,61.05,65.71
knn,cancer_invasion,correlation,50,average_generation_absolute_distance_results,67.69,67.22,69.6,70.19,79.0
knn,cancer_stage,correlation,50,average_generation_absolute_distance_results,33.9,18.29,16.42,22.94,85.62
knn,early_vs_late_stage,correlation,50,average_generation_absolute_distance_results,70.77,65.54,65.34,69.33,66.67
knn,ptc_vs_mibc,correlation,50,average_generation_absolute_distance_results,66.0,64.83,66.85,65.42,60.0
knn,cancer_invasion,correlation,50,average_mean_absolute_distance_results,58.46,52.5,54.57,52.89,33.0
knn,cancer_stage,correlation,50,average_mean_absolute_distance_results,36.01,16.62,16.35,18.07,86.28
knn,early_vs_late_stage,correlation,50,average_mean_absolute_distance_results,63.08,56.45,57.18,59.67,53.33
knn,ptc_vs_mibc,correlation,50,average_mean_absolute_distance_results,67.08,66.7,67.54,67.2,68.57
knn,cancer_invasion,energy,10,,73.85,68.18,72.88,67.64,45.0
knn,cancer_stage,energy,10,,28.02,21.0,24.14,21.18,84.92
knn,early_vs_late_stage,energy,10,,83.08,64.67,68.48,65.67,33.33
knn,ptc_vs_mibc,energy,10,,57.67,57.15,57.95,57.74,57.14
knn,cancer_invasion,energy,10,average_best_absolute_distance_results,69.23,67.79,69.9,68.56,66.0
knn,cancer_stage,energy,10,average_best_absolute_distance_results,32.0,21.98,23.93,23.91,85.6
knn,early_vs_late_stage,energy,10,average_best_absolute_distance_results,70.77,61.17,61.57,62.33,46.67
knn,ptc_vs_mibc,energy,10,average_best_absolute_distance_results,63.0,60.98,63.4,61.92,48.57
knn,cancer_invasion,energy,10,average_generation_absolute_distance_results,70.77,66.23,70.5,65.92,46.0
knn,cancer_stage,energy,10,average_generation_absolute_distance_results,22.01,15.85,14.86,19.91,84.03
knn,early_vs_late_stage,energy,10,average_generation_absolute_distance_results,76.92,64.71,66.55,64.0,40.0
knn,ptc_vs_mibc,energy,10,average_generation_absolute_distance_results,55.25,53.75,61.55,56.69,71.43
knn,cancer_invasion,energy,10,average_mean_absolute_distance_results,69.23,66.86,67.23,67.53,62.0
knn,cancer_stage,energy,10,average_mean_absolute_distance_results,35.95,20.7,20.5,22.44,85.29
knn,early_vs_late_stage,energy,10,average_mean_absolute_distance_results,72.31,61.55,62.52,61.0,40.0
knn,ptc_vs_mibc,energy,10,average_mean_absolute_distance_results,67.08,65.69,67.45,66.03,54.29
knn,cancer_invasion,energy,20,,73.85,68.18,72.88,67.64,45.0
knn,cancer_stage,energy,20,,28.02,21.0,24.14,21.18,84.92
knn,early_vs_late_stage,energy,20,,83.08,64.67,68.48,65.67,33.33
knn,ptc_vs_mibc,energy,20,,57.67,57.15,57.95,57.74,57.14
knn,cancer_invasion,energy,20,average_best_absolute_distance_results,70.77,66.44,71.58,65.56,45.0
knn,cancer_stage,energy,20,average_best_absolute_distance_results,31.11,19.81,20.59,21.55,85.34
knn,early_vs_late_stage,energy,20,average_best_absolute_distance_results,67.69,64.21,65.98,72.0,80.0
knn,ptc_vs_mibc,energy,20,average_best_absolute_distance_results,60.5,59.59,60.43,59.88,51.43
knn,cancer_invasion,energy,20,average_generation_absolute_distance_results,67.69,63.93,68.73,63.67,49.0
knn,cancer_stage,energy,20,average_generation_absolute_distance_results,33.01,16.23,20.87,17.51,85.07
knn,early_vs_late_stage,energy,20,average_generation_absolute_distance_results,73.85,64.3,65.84,64.33,46.67
knn,ptc_vs_mibc,energy,20,average_generation_absolute_distance_results,63.0,61.58,63.08,62.1,51.43
knn,cancer_invasion,energy,20,average_mean_absolute_distance_results,69.23,63.54,69.08,63.92,42.0
knn,cancer_stage,energy,20,average_mean_absolute_distance_results,25.13,15.58,13.52,19.46,84.03
knn,early_vs_late_stage,energy,20,average_mean_absolute_distance_results,78.46,64.68,65.91,65.0,40.0
knn,ptc_vs_mibc,energy,20,average_mean_absolute_distance_results,64.5,64.29,64.35,64.35,62.86
knn,cancer_invasion,energy,30,,73.85,68.18,72.88,67.64,45.0
knn,cancer_stage,energy,30,,28.02,21.0,24.14,21.18,84.92
knn,early_vs_late_stage,energy,30,,83.08,64.67,68.48,65.67,33.33
knn,ptc_vs_mibc,energy,30,,57.67,57.15,57.95,57.74,57.14
knn,cancer_invasion,energy,30,average_best_absolute_distance_results,73.85,71.67,74.88,71.42,62.0
knn,cancer_stage,energy,30,average_best_absolute_distance_results,31.91,24.29,24.18,26.69,85.84
knn,early_vs_late_stage,energy,30,average_best_absolute_distance_results,81.54,69.61,69.78,71.67,53.33
knn,ptc_vs_mibc,energy,30,average_best_absolute_distance_results,62.0,59.97,64.54,61.13,51.43
knn,cancer_invasion,energy,30,average_generation_absolute_distance_results,72.31,67.79,69.96,67.89,53.0
knn,cancer_stage,energy,30,average_generation_absolute_distance_results,35.0,15.15,15.2,19.21,84.04
knn,early_vs_late_stage,energy,30,average_generation_absolute_distance_results,75.38,59.59,62.58,60.67,33.33
knn,ptc_vs_mibc,energy,30,average_generation_absolute_distance_results,59.33,58.34,59.15,58.99,57.14
knn,cancer_invasion,energy,30,average_mean_absolute_distance_results,72.31,67.71,69.97,67.78,50.0
knn,cancer_stage,energy,30,average_mean_absolute_distance_results,31.02,18.44,17.66,22.88,85.99
knn,early_vs_late_stage,energy,30,average_mean_absolute_distance_results,75.38,61.89,61.57,63.0,40.0
knn,ptc_vs_mibc,energy,30,average_mean_absolute_distance_results,63.17,61.43,63.78,61.88,45.71
knn,cancer_invasion,energy,40,,73.85,68.18,72.88,67.64,45.0
knn,cancer_stage,energy,40,,28.02,21.0,24.14,21.18,84.92
knn,early_vs_late_stage,energy,40,,83.08,64.67,68.48,65.67,33.33
knn,ptc_vs_mibc,energy,40,,57.67,57.15,57.95,57.74,57.14
knn,cancer_invasion,energy,40,average_best_absolute_distance_results,75.38,73.3,76.37,75.31,72.0
knn,cancer_stage,energy,40,average_best_absolute_distance_results,34.05,21.14,20.34,23.99,85.32
knn,early_vs_late_stage,energy,40,average_best_absolute_distance_results,70.77,63.76,66.58,64.67,53.33
knn,ptc_vs_mibc,energy,40,average_best_absolute_distance_results,61.83,61.11,63.01,61.85,62.86
knn,cancer_invasion,energy,40,average_generation_absolute_distance_results,73.85,71.0,72.2,71.28,62.0
knn,cancer_stage,energy,40,average_generation_absolute_distance_results,36.96,21.44,23.67,21.87,86.51
knn,early_vs_late_stage,energy,40,average_generation_absolute_distance_results,78.46,65.28,75.94,62.67,33.33
knn,ptc_vs_mibc,energy,40,average_generation_absolute_distance_results,65.67,64.52,66.79,65.6,62.86
knn,cancer_invasion,energy,40,average_mean_absolute_distance_results,72.31,68.86,70.5,68.53,54.0
knn,cancer_stage,energy,40,average_mean_absolute_distance_results,26.05,15.02,16.59,15.53,84.61
knn,early_vs_late_stage,energy,40,average_mean_absolute_distance_results,72.31,62.56,66.58,63.33,46.67
knn,ptc_vs_mibc,energy,40,average_mean_absolute_distance_results,65.83,63.92,66.13,64.56,48.57
knn,cancer_invasion,energy,50,,73.85,68.18,72.88,67.64,45.0
knn,cancer_stage,energy,50,,28.02,21.0,24.14,21.18,84.92
knn,early_vs_late_stage,energy,50,,83.08,64.67,68.48,65.67,33.33
knn,ptc_vs_mibc,energy,50,,57.67,57.15,57.95,57.74,57.14
knn,cancer_invasion,energy,50,average_best_absolute_distance_results,73.85,66.46,66.65,68.14,46.0
knn,cancer_stage,energy,50,average_best_absolute_distance_results,34.14,15.37,14.94,18.07,84.9
knn,early_vs_late_stage,energy,50,average_best_absolute_distance_results,58.46,54.8,58.47,61.33,66.67
knn,ptc_vs_mibc,energy,50,average_best_absolute_distance_results,60.33,59.87,60.84,60.6,62.86
knn,cancer_invasion,energy,50,average_generation_absolute_distance_results,70.77,62.55,62.32,64.53,41.0
knn,cancer_stage,energy,50,average_generation_absolute_distance_results,26.05,15.03,14.9,16.01,84.27
knn,early_vs_late_stage,energy,50,average_generation_absolute_distance_results,72.31,52.22,51.12,54.0,20.0
knn,ptc_vs_mibc,energy,50,average_generation_absolute_distance_results,64.42,63.84,66.63,64.88,71.43
knn,cancer_invasion,energy,50,average_mean_absolute_distance_results,67.69,64.91,65.44,64.92,54.0
knn,cancer_stage,energy,50,average_mean_absolute_distance_results,30.04,18.12,20.75,19.78,83.97
knn,early_vs_late_stage,energy,50,average_mean_absolute_distance_results,81.54,66.46,76.44,64.67,33.33
knn,ptc_vs_mibc,energy,50,average_mean_absolute_distance_results,63.17,62.26,62.98,62.42,54.29
knn,cancer_invasion,homogeneity,10,,73.85,70.66,73.77,70.53,58.0
knn,cancer_stage,homogeneity,10,,36.99,21.11,17.92,26.17,85.69
knn,early_vs_late_stage,homogeneity,10,,80.0,71.1,77.24,70.67,53.33
knn,ptc_vs_mibc,homogeneity,10,,55.17,54.14,58.3,55.83,60.0
knn,cancer_invasion,homogeneity,10,average_best_absolute_distance_results,67.69,63.98,67.44,64.14,53.0
knn,cancer_stage,homogeneity,10,average_best_absolute_distance_results,30.07,12.04,11.25,14.5,83.7
knn,early_vs_late_stage,homogeneity,10,average_best_absolute_distance_results,69.23,51.45,54.72,52.0,20.0
knn,ptc_vs_mibc,homogeneity,10,average_best_absolute_distance_results,64.58,63.29,65.64,63.77,51.43
knn,cancer_invasion,homogeneity,10,average_generation_absolute_distance_results,66.15,53.47,63.32,56.75,21.0
knn,cancer_stage,homogeneity,10,average_generation_absolute_distance_results,32.95,16.26,18.34,19.92,84.61
knn,early_vs_late_stage,homogeneity,10,average_generation_absolute_distance_results,72.31,49.82,52.05,51.67,13.33
knn,ptc_vs_mibc,homogeneity,10,average_generation_absolute_distance_results,60.42,60.15,60.46,60.42,60.0
knn,cancer_invasion,homogeneity,10,average_mean_absolute_distance_results,63.08,59.51,60.0,59.67,46.0
knn,cancer_stage,homogeneity,10,average_mean_absolute_distance_results,29.0,18.72,20.26,19.42,84.96
knn,early_vs_late_stage,homogeneity,10,average_mean_absolute_distance_results,76.92,55.11,54.93,57.0,20.0
knn,ptc_vs_mibc,homogeneity,10,average_mean_absolute_distance_results,63.33,63.21,63.63,63.55,65.71
knn,cancer_invasion,homogeneity,20,,73.85,70.66,73.77,70.53,58.0
knn,cancer_stage,homogeneity,20,,36.99,21.11,17.92,26.17,85.69
knn,early_vs_late_stage,homogeneity,20,,80.0,71.1,77.24,70.67,53.33
knn,ptc_vs_mibc,homogeneity,20,,55.17,54.14,58.3,55.83,60.0
knn,cancer_invasion,homogeneity,20,average_best_absolute_distance_results,53.85,53.17,54.9,55.67,63.0
knn,cancer_stage,homogeneity,20,average_best_absolute_distance_results,36.1,17.5,20.34,19.81,85.13
knn,early_vs_late_stage,homogeneity,20,average_best_absolute_distance_results,53.85,48.22,56.09,56.0,60.0
knn,ptc_vs_mibc,homogeneity,20,average_best_absolute_distance_results,73.5,73.12,74.15,73.49,71.43
knn,cancer_invasion,homogeneity,20,average_generation_absolute_distance_results,56.92,46.11,44.11,49.67,21.0
knn,cancer_stage,homogeneity,20,average_generation_absolute_distance_results,37.05,14.16,13.75,17.62,84.7
knn,early_vs_late_stage,homogeneity,20,average_generation_absolute_distance_results,70.77,51.66,50.89,53.0,20.0
knn,ptc_vs_mibc,homogeneity,20,average_generation_absolute_distance_results,67.0,66.7,67.34,67.06,68.57
knn,cancer_invasion,homogeneity,20,average_mean_absolute_distance_results,56.92,51.93,55.48,51.78,33.0
knn,cancer_stage,homogeneity,20,average_mean_absolute_distance_results,33.1,16.64,16.37,19.3,84.86
knn,early_vs_late_stage,homogeneity,20,average_mean_absolute_distance_results,76.92,43.48,38.46,50.0,0.0
knn,ptc_vs_mibc,homogeneity,20,average_mean_absolute_distance_results,63.25,62.62,65.24,63.91,71.43
knn,cancer_invasion,homogeneity,30,,73.85,70.66,73.77,70.53,58.0
knn,cancer_stage,homogeneity,30,,36.99,21.11,17.92,26.17,85.69
knn,early_vs_late_stage,homogeneity,30,,80.0,71.1,77.24,70.67,53.33
knn,ptc_vs_mibc,homogeneity,30,,55.17,54.14,58.3,55.83,60.0
knn,cancer_invasion,homogeneity,30,average_best_absolute_distance_results,56.92,50.76,56.36,51.92,33.0
knn,cancer_stage,homogeneity,30,average_best_absolute_distance_results,26.95,13.69,13.4,16.17,84.07
knn,early_vs_late_stage,homogeneity,30,average_best_absolute_distance_results,66.15,52.15,53.41,52.33,26.67
knn,ptc_vs_mibc,homogeneity,30,average_best_absolute_distance_results,55.25,54.05,58.41,56.55,71.43
knn,cancer_invasion,homogeneity,30,average_generation_absolute_distance_results,61.54,56.54,63.83,57.5,45.0
knn,cancer_stage,homogeneity,30,average_generation_absolute_distance_results,28.05,12.66,13.21,13.94,83.48
knn,early_vs_late_stage,homogeneity,30,average_generation_absolute_distance_results,78.46,58.64,70.0,58.0,20.0
knn,ptc_vs_mibc,homogeneity,30,average_generation_absolute_distance_results,68.33,67.69,68.97,67.78,60.0
knn,cancer_invasion,homogeneity,30,average_mean_absolute_distance_results,58.46,45.56,48.57,50.31,17.0
knn,cancer_stage,homogeneity,30,average_mean_absolute_distance_results,31.05,14.72,12.04,19.34,84.83
knn,early_vs_late_stage,homogeneity,30,average_mean_absolute_distance_results,70.77,66.27,66.79,71.67,73.33
knn,ptc_vs_mibc,homogeneity,30,average_mean_absolute_distance_results,64.33,63.63,64.65,64.21,62.86
knn,cancer_invasion,homogeneity,40,,73.85,70.66,73.77,70.53,58.0
knn,cancer_stage,homogeneity,40,,36.99,21.11,17.92,26.17,85.69
knn,early_vs_late_stage,homogeneity,40,,80.0,71.1,77.24,70.67,53.33
knn,ptc_vs_mibc,homogeneity,40,,55.17,54.14,58.3,55.83,60.0
knn,cancer_invasion,homogeneity,40,average_best_absolute_distance_results,67.69,58.53,64.32,60.0,30.0
knn,cancer_stage,homogeneity,40,average_best_absolute_distance_results,36.9,20.22,19.89,25.05,85.27
knn,early_vs_late_stage,homogeneity,40,average_best_absolute_distance_results,76.92,61.84,66.02,61.67,33.33
knn,ptc_vs_mibc,homogeneity,40,average_best_absolute_distance_results,52.75,50.33,53.08,52.52,51.43
knn,cancer_invasion,homogeneity,40,average_generation_absolute_distance_results,69.23,60.64,61.43,62.53,37.0
knn,cancer_stage,homogeneity,40,average_generation_absolute_distance_results,26.98,19.84,20.69,20.45,83.51
knn,early_vs_late_stage,homogeneity,40,average_generation_absolute_distance_results,80.0,60.73,67.53,61.33,26.67
knn,ptc_vs_mibc,homogeneity,40,average_generation_absolute_distance_results,57.92,56.71,57.75,57.34,48.57
knn,cancer_invasion,homogeneity,40,average_mean_absolute_distance_results,63.08,58.14,59.94,58.64,42.0
knn,cancer_stage,homogeneity,40,average_mean_absolute_distance_results,32.03,20.56,22.74,21.45,85.49
knn,early_vs_late_stage,homogeneity,40,average_mean_absolute_distance_results,76.92,55.11,54.93,57.0,20.0
knn,ptc_vs_mibc,homogeneity,40,average_mean_absolute_distance_results,64.42,62.35,66.12,63.13,45.71
knn,cancer_invasion,homogeneity,50,,73.85,70.66,73.77,70.53,58.0
knn,cancer_stage,homogeneity,50,,36.99,21.11,17.92,26.17,85.69
knn,early_vs_late_stage,homogeneity,50,,80.0,71.1,77.24,70.67,53.33
knn,ptc_vs_mibc,homogeneity,50,,55.17,54.14,58.3,55.83,60.0
knn,cancer_invasion,homogeneity,50,average_best_absolute_distance_results,66.15,65.6,66.81,67.92,75.0
knn,cancer_stage,homogeneity,50,average_best_absolute_distance_results,36.99,14.26,14.09,18.42,84.87
knn,early_vs_late_stage,homogeneity,50,average_best_absolute_distance_results,76.92,60.89,61.09,61.67,33.33
knn,ptc_vs_mibc,homogeneity,50,average_best_absolute_distance_results,57.75,55.35,59.0,58.31,68.57
knn,cancer_invasion,homogeneity,50,average_generation_absolute_distance_results,52.31,47.29,47.74,48.31,33.0
knn,cancer_stage,homogeneity,50,average_generation_absolute_distance_results,15.98,11.13,15.38,10.22,82.9
knn,early_vs_late_stage,homogeneity,50,average_generation_absolute_distance_results,69.23,52.48,52.04,54.33,26.67
knn,ptc_vs_mibc,homogeneity,50,average_generation_absolute_distance_results,59.17,58.76,59.21,58.99,57.14
knn,cancer_invasion,homogeneity,50,average_mean_absolute_distance_results,58.46,48.27,52.29,51.03,24.0
knn,cancer_stage,homogeneity,50,average_mean_absolute_distance_results,34.97,21.01,22.78,21.24,85.88
knn,early_vs_late_stage,homogeneity,50,average_mean_absolute_distance_results,69.23,49.77,48.14,52.0,20.0
knn,ptc_vs_mibc,homogeneity,50,average_mean_absolute_distance_results,64.5,62.68,66.06,63.13,45.71
knn,cancer_invasion,contrast,10,,61.54,59.49,60.12,59.92,54.0
knn,cancer_stage,contrast,10,,29.98,20.81,23.2,21.34,84.45
knn,early_vs_late_stage,contrast,10,,84.62,71.64,76.45,71.33,46.67
knn,ptc_vs_mibc,contrast,10,,52.67,50.35,58.67,54.68,77.14
knn,cancer_invasion,contrast,10,average_best_absolute_distance_results,64.62,62.44,62.65,63.17,58.0
knn,cancer_stage,contrast,10,average_best_absolute_distance_results,37.08,17.7,22.91,20.4,84.83
knn,early_vs_late_stage,contrast,10,average_best_absolute_distance_results,70.77,57.12,57.8,57.67,33.33
knn,ptc_vs_mibc,contrast,10,average_best_absolute_distance_results,63.17,62.73,63.23,62.92,60.0
knn,cancer_invasion,contrast,10,average_generation_absolute_distance_results,60.0,56.35,56.48,56.53,45.0
knn,cancer_stage,contrast,10,average_generation_absolute_distance_results,21.98,21.2,22.85,23.09,83.37
knn,early_vs_late_stage,contrast,10,average_generation_absolute_distance_results,84.62,73.94,84.61,71.33,46.67
knn,ptc_vs_mibc,contrast,10,average_generation_absolute_distance_results,60.5,60.18,60.77,60.6,62.86
knn,cancer_invasion,contrast,10,average_mean_absolute_distance_results,63.08,59.26,60.28,60.28,50.0
knn,cancer_stage,contrast,10,average_mean_absolute_distance_results,30.99,23.26,23.94,23.56,85.92
knn,early_vs_late_stage,contrast,10,average_mean_absolute_distance_results,78.46,69.24,73.82,69.67,53.33
knn,ptc_vs_mibc,contrast,10,average_mean_absolute_distance_results,61.75,61.53,61.98,61.85,62.86
knn,cancer_invasion,contrast,20,,61.54,59.49,60.12,59.92,54.0
knn,cancer_stage,contrast,20,,29.98,20.81,23.2,21.34,84.45
knn,early_vs_late_stage,contrast,20,,84.62,71.64,76.45,71.33,46.67
knn,ptc_vs_mibc,contrast,20,,52.67,50.35,58.67,54.68,77.14
knn,cancer_invasion,contrast,20,average_best_absolute_distance_results,50.77,43.77,44.94,44.92,24.0
knn,cancer_stage,contrast,20,average_best_absolute_distance_results,29.03,13.02,13.88,15.4,83.92
knn,early_vs_late_stage,contrast,20,average_best_absolute_distance_results,76.92,57.12,64.85,57.0,20.0
knn,ptc_vs_mibc,contrast,20,average_best_absolute_distance_results,60.5,60.31,60.58,60.6,62.86
knn,cancer_invasion,contrast,20,average_generation_absolute_distance_results,63.08,54.3,60.11,56.64,33.0
knn,cancer_stage,contrast,20,average_generation_absolute_distance_results,34.05,17.85,17.11,20.96,85.03
knn,early_vs_late_stage,contrast,20,average_generation_absolute_distance_results,80.0,62.02,70.72,61.33,26.67
knn,ptc_vs_mibc,contrast,20,average_generation_absolute_distance_results,57.92,57.09,58.81,58.06,60.0
knn,cancer_invasion,contrast,20,average_mean_absolute_distance_results,58.46,57.61,63.23,61.97,72.0
knn,cancer_stage,contrast,20,average_mean_absolute_distance_results,23.98,13.11,14.92,13.67,83.28
knn,early_vs_late_stage,contrast,20,average_mean_absolute_distance_results,72.31,53.8,57.62,54.0,20.0
knn,ptc_vs_mibc,contrast,20,average_mean_absolute_distance_results,56.5,55.87,56.11,55.95,48.57
knn,cancer_invasion,contrast,30,,61.54,59.49,60.12,59.92,54.0
knn,cancer_stage,contrast,30,,29.98,20.81,23.2,21.34,84.45
knn,early_vs_late_stage,contrast,30,,84.62,71.64,76.45,71.33,46.67
knn,ptc_vs_mibc,contrast,30,,52.67,50.35,58.67,54.68,77.14
knn,cancer_invasion,contrast,30,average_best_absolute_distance_results,64.62,56.26,58.94,57.39,32.0
knn,cancer_stage,contrast,30,average_best_absolute_distance_results,37.02,12.51,11.92,16.87,84.7
knn,early_vs_late_stage,contrast,30,average_best_absolute_distance_results,67.69,57.36,59.26,58.0,40.0
knn,ptc_vs_mibc,contrast,30,average_best_absolute_distance_results,61.83,61.61,63.11,62.52,71.43
knn,cancer_invasion,contrast,30,average_generation_absolute_distance_results,58.46,54.12,54.56,54.42,38.0
knn,cancer_stage,contrast,30,average_generation_absolute_distance_results,36.01,13.4,12.32,16.63,85.09
knn,early_vs_late_stage,contrast,30,average_generation_absolute_distance_results,73.85,49.48,47.4,52.67,13.33
knn,ptc_vs_mibc,contrast,30,average_generation_absolute_distance_results,63.08,62.78,63.35,63.1,62.86
knn,cancer_invasion,contrast,30,average_mean_absolute_distance_results,66.15,64.86,64.83,65.53,63.0
knn,cancer_stage,contrast,30,average_mean_absolute_distance_results,25.07,17.24,21.82,16.29,83.63
knn,early_vs_late_stage,contrast,30,average_mean_absolute_distance_results,72.31,63.68,64.2,65.67,53.33
knn,ptc_vs_mibc,contrast,30,average_mean_absolute_distance_results,58.08,57.25,59.54,58.06,60.0
knn,cancer_invasion,contrast,40,,61.54,59.49,60.12,59.92,54.0
knn,cancer_stage,contrast,40,,29.98,20.81,23.2,21.34,84.45
knn,early_vs_late_stage,contrast,40,,84.62,71.64,76.45,71.33,46.67
knn,ptc_vs_mibc,contrast,40,,52.67,50.35,58.67,54.68,77.14
knn,cancer_invasion,contrast,40,average_best_absolute_distance_results,61.54,57.65,59.51,58.19,45.0
knn,cancer_stage,contrast,40,average_best_absolute_distance_results,32.95,12.63,15.45,15.36,83.73
knn,early_vs_late_stage,contrast,40,average_best_absolute_distance_results,78.46,64.11,73.54,62.67,33.33
knn,ptc_vs_mibc,contrast,40,average_best_absolute_distance_results,60.75,58.48,62.7,59.48,42.86
knn,cancer_invasion,contrast,40,average_generation_absolute_distance_results,60.0,54.74,54.77,57.92,50.0
knn,cancer_stage,contrast,40,average_generation_absolute_distance_results,35.98,14.73,14.14,18.98,84.47
knn,early_vs_late_stage,contrast,40,average_generation_absolute_distance_results,76.92,63.14,69.21,61.67,33.33
knn,ptc_vs_mibc,contrast,40,average_generation_absolute_distance_results,56.75,55.35,56.55,55.91,45.71
knn,cancer_invasion,contrast,40,average_mean_absolute_distance_results,55.38,48.0,49.1,49.39,26.0
knn,cancer_stage,contrast,40,average_mean_absolute_distance_results,34.05,15.51,17.23,17.23,85.14
knn,early_vs_late_stage,contrast,40,average_mean_absolute_distance_results,78.46,59.21,62.37,60.33,26.67
knn,ptc_vs_mibc,contrast,40,average_mean_absolute_distance_results,69.83,69.46,71.06,69.66,65.71
knn,cancer_invasion,contrast,50,,61.54,59.49,60.12,59.92,54.0
knn,cancer_stage,contrast,50,,29.98,20.81,23.2,21.34,84.45
knn,early_vs_late_stage,contrast,50,,84.62,71.64,76.45,71.33,46.67
knn,ptc_vs_mibc,contrast,50,,52.67,50.35,58.67,54.68,77.14
knn,cancer_invasion,contrast,50,average_best_absolute_distance_results,66.15,62.1,65.39,62.28,49.0
knn,cancer_stage,contrast,50,average_best_absolute_distance_results,34.94,14.48,16.43,16.79,84.5
knn,early_vs_late_stage,contrast,50,average_best_absolute_distance_results,64.62,52.4,52.53,53.67,33.33
knn,ptc_vs_mibc,contrast,50,average_best_absolute_distance_results,55.42,52.92,55.94,54.17,40.0
knn,cancer_invasion,contrast,50,average_generation_absolute_distance_results,61.54,52.65,55.78,54.92,29.0
knn,cancer_stage,contrast,50,average_generation_absolute_distance_results,38.98,18.38,19.11,20.49,86.1
knn,early_vs_late_stage,contrast,50,average_generation_absolute_distance_results,70.77,57.77,62.6,57.67,33.33
knn,ptc_vs_mibc,contrast,50,average_generation_absolute_distance_results,65.67,64.3,66.46,65.28,60.0
knn,cancer_invasion,contrast,50,average_mean_absolute_distance_results,61.54,61.54,66.44,66.44,84.0
knn,cancer_stage,contrast,50,average_mean_absolute_distance_results,27.06,13.38,15.99,13.67,84.89
knn,early_vs_late_stage,contrast,50,average_mean_absolute_distance_results,60.0,48.33,48.83,48.33,26.67
knn,ptc_vs_mibc,contrast,50,average_mean_absolute_distance_results,56.83,56.5,56.71,56.59,54.29
logreg,cancer_invasion,dissimilarity,10,,69.23,66.94,75.14,70.42,75.0
logreg,cancer_stage,dissimilarity,10,,23.02,18.46,19.92,19.39,88.28
logreg,early_vs_late_stage,dissimilarity,10,,60.0,54.17,61.45,57.67,53.33
logreg,ptc_vs_mibc,dissimilarity,10,,54.08,52.38,54.04,54.01,48.57
logreg,cancer_invasion,dissimilarity,10,average_best_absolute_distance_results,52.31,51.29,53.36,53.31,58.0
logreg,cancer_stage,dissimilarity,10,average_best_absolute_distance_results,17.88,14.15,15.88,20.24,86.89
logreg,early_vs_late_stage,dissimilarity,10,average_best_absolute_distance_results,60.0,53.54,55.92,57.67,53.33
logreg,ptc_vs_mibc,dissimilarity,10,average_best_absolute_distance_results,55.25,54.38,55.06,54.7,48.57
logreg,cancer_invasion,dissimilarity,10,average_generation_absolute_distance_results,47.69,45.6,46.36,46.42,42.0
logreg,cancer_stage,dissimilarity,10,average_generation_absolute_distance_results,27.93,13.54,13.71,16.56,86.25
logreg,early_vs_late_stage,dissimilarity,10,average_generation_absolute_distance_results,58.46,53.71,56.49,59.0,60.0
logreg,ptc_vs_mibc,dissimilarity,10,average_generation_absolute_distance_results,64.42,63.9,65.65,64.88,71.43
logreg,cancer_invasion,dissimilarity,10,average_mean_absolute_distance_results,55.38,53.82,55.98,55.81,58.0
logreg,cancer_stage,dissimilarity,10,average_mean_absolute_distance_results,18.87,15.64,21.15,21.3,86.52
logreg,early_vs_late_stage,dissimilarity,10,average_mean_absolute_distance_results,67.69,61.15,62.62,65.0,60.0
logreg,ptc_vs_mibc,dissimilarity,10,average_mean_absolute_distance_results,57.92,57.31,57.67,57.38,51.43
logreg,cancer_invasion,dissimilarity,20,,69.23,66.94,75.14,70.42,75.0
logreg,cancer_stage,dissimilarity,20,,23.02,18.46,19.92,19.39,88.28
logreg,early_vs_late_stage,dissimilarity,20,,60.0,54.17,61.45,57.67,53.33
logreg,ptc_vs_mibc,dissimilarity,20,,54.08,52.38,54.04,54.01,48.57
